"board","search_level","window_turns","metric","games","value","median","ci_low","ci_high","primary"
"6x6","uct-0500","4","no_dominant_turn_rate","50","0.628750","0.645833","0.607917","0.650000","false"
"6x6","uct-0500","4","mean_focus_persistence","50","1.035291","1.000000","1.023141","1.049244","false"
"6x6","uct-0500","4","mean_focus_switch_distance","50","2.110442","2.062500","1.984778","2.242336","false"
"6x6","uct-1000","4","mean_active_regions","50","4.810000","4.947916","4.666667","4.945417","true"
"6x6","uct-1000","4","multi_active_turn_rate","50","0.930417","0.937500","0.920417","0.939583","true"
"6x6","uct-1000","4","longest_multi_active_run","50","44.420000","45.000000","43.760000","44.980000","true"
"6x6","uct-1000","4","longest_multi_active_run_fraction","50","0.925417","0.937500","0.912083","0.937500","true"
"6x6","uct-1000","4","mean_multi_active_run","50","43.400000","45.000000","41.580000","44.840000","true"
"6x6","uct-1000","4","mean_multi_active_run_fraction","50","0.904167","0.937500","0.864583","0.935000","true"
"6x6","uct-1000","4","mean_both_invested_regions","50","1.793750","1.791667","1.709583","1.871250","true"
"6x6","uct-1000","4","multi_both_invested_turn_rate","50","0.592917","0.614583","0.558333","0.627917","true"
"6x6","uct-1000","4","mixed_leadership_turn_rate","50","0.906250","0.916667","0.897083","0.914583","true"
"6x6","uct-1000","4","longest_mixed_leadership_run","50","43.340000","44.000000","42.880000","43.820000","true"
"6x6","uct-1000","4","longest_mixed_leadership_run_fraction","50","0.902917","0.916667","0.892917","0.912500","true"
"6x6","uct-1000","4","mean_mixed_leadership_run","50","41.810000","44.000000","39.930000","43.380000","true"
"6x6","uct-1000","4","mean_mixed_leadership_run_fraction","50","0.871042","0.916667","0.830208","0.903750","true"
"6x6","uct-1000","4","mean_p1_led_regions","50","3.420417","3.395833","3.265000","3.572917","true"
"6x6","uct-1000","4","mean_p2_led_regions","50","3.140000","3.135416","3.008333","3.274167","true"
"6x6","uct-1000","4","mean_led_regions","50","6.560417","6.593750","6.415000","6.704167","true"
"6x6","uct-1000","4","mean_opposition_breadth","50","2.720417","2.729166","2.631667","2.806667","true"
"6x6","uct-1000","4","mean_opportunity_adjusted_activity","50","4.889570","4.980044","4.711196","5.046536","true"
"6x6","uct-1000","4","focus_switch_rate","50","0.894507","0.900000","0.858158","0.928111","true"
"6x6","uct-1000","4","focus_eligible_fraction","50","0.149787","0.148936","0.134468","0.164681","true"
"6x6","uct-1000","4","no_dominant_turn_rate","50","0.616250","0.604167","0.599167","0.635417","true"
